size  MaxDepth  addTimeElapsed  searchTimeElapsed  deleteTimeElapsed
10000 2 780 218 176
20000 2 156 305 450
30000 2 81 301 424
40000 2 294 146 100
50000 2 58 59 69
60000 2 45 49 174
70000 2 63 55 77
80000 2 164 227 104
90000 2 49 220 52
100000 2 48 57 240
110000 2 50 46 48
120000 2 81 50 57
130000 2 61 113 62
140000 2 58 51 115
150000 2 53 50 55
160000 2 101 54 64
170000 2 98 56 58
180000 2 80 54 60
190000 2 54 65 102
200000 2 66 54 62
210000 2 55 57 68
220000 2 46 48 52
230000 2 46 47 53
240000 2 50 53 137
250000 2 45 54 57
260000 2 51 46 50
270000 2 48 52 59
280000 2 53 54 56
290000 2 46 50 48
300000 2 44 51 50
310000 2 46 45 72
320000 2 42 47 51
330000 2 44 64 71
340000 2 44 211 81
350000 2 53 46 52
360000 2 47 45 48
370000 2 58 56 72
380000 2 53 54 60
390000 2 159 55 61
400000 2 68 56 65
410000 2 78 48 52
420000 2 60 52 63
430000 2 49 49 51
440000 2 58 55 119
450000 2 49 45 50
460000 2 48 60 78
470000 2 47 48 53
480000 2 50 51 58
490000 2 54 51 67
500000 2 48 56 64
510000 2 43 46 47
520000 2 42 46 47
530000 2 43 46 46
540000 2 42 138 320
550000 2 42 48 322
560000 2 42 112 41
570000 2 43 46 229
580000 2 42 46 269
590000 2 42 48 41
600000 2 42 47 41
610000 2 45 45 41
620000 2 43 46 41
630000 2 42 45 41
640000 2 42 47 42
650000 2 43 45 41
660000 2 42 47 42
670000 2 42 46 42
680000 2 42 49 163
690000 2 43 45 41
700000 2 42 47 41
710000 2 42 44 42
720000 2 42 46 41
730000 2 42 46 41
740000 2 43 121 41
750000 2 42 46 41
760000 2 42 47 42
770000 2 43 46 42
780000 2 42 44 41
790000 2 42 45 41
800000 2 42 45 42
810000 2 42 47 41
820000 2 42 47 41
830000 2 43 46 42
840000 2 42 47 41
850000 2 42 45 40
860000 2 43 46 42
870000 2 42 46 42
880000 2 42 48 41
890000 2 42 46 41
900000 2 42 46 42
910000 2 42 46 42
920000 2 42 46 41
930000 2 42 46 42
940000 2 43 44 42
950000 2 44 468 45
960000 2 45 286 41
970000 2 44 313 42
980000 2 42 44 41
990000 2 42 43 42
1000000 2 42 45 42
