size  MaxDepth  addTimeElapsed  searchTimeElapsed  deleteTimeElapsed
10000 5 239 1850 485
20000 6 158 189 517
30000 5 121 122 377
40000 4 111 91 76
50000 5 60 77 203
60000 5 62 77 64
70000 5 74 70 104
80000 5 70 97 65
90000 5 63 196 102
100000 5 63 64 63
110000 5 62 67 64
120000 6 57 65 130
130000 7 64 69 58
140000 5 82 289 68
150000 5 64 64 65
160000 4 109 61 58
170000 7 122 81 108
180000 6 77 69 59
190000 6 98 70 69
200000 6 63 150 64
210000 7 63 71 127
220000 7 99 68 62
230000 6 68 59 219
240000 6 61 67 56
250000 6 68 23577 64
260000 6 61 446 234
270000 7 56 49 529
280000 7 56 268 76
290000 6 50 76 116
300000 7 54 52 400
310000 7 52 51 330
320000 7 53 114 71
330000 7 51 51 79
340000 6 62 53 76
350000 9 98 51 78
360000 8 67 51 76
370000 5 69 61 86
380000 8 62 61 60
390000 6 63 49 77
400000 8 66 64 95
410000 5 57 49 80
420000 5 58 50 88
430000 6 61 62 59
440000 6 67 61 126
450000 7 68 60 47
460000 6 53 51 79
470000 6 52 51 75
480000 6 52 52 81
490000 6 51 50 81
500000 7 50 56 83
510000 6 49 52 78
520000 6 53 69 102
530000 5 53 52 84
540000 7 50 49 78
550000 7 50 51 77
560000 7 52 52 78
570000 7 51 50 81
580000 7 49 51 47
590000 7 52 50 47
600000 7 52 50 73
610000 6 51 51 86
620000 5 52 51 82
630000 6 51 50 81
640000 7 52 48 77
650000 6 50 50 48
660000 6 49 49 77
670000 5 51 54 57
680000 7 53 51 81
690000 6 50 52 82
700000 5 54 51 84
710000 6 50 47 47
720000 7 50 53 90
730000 6 51 50 73
740000 5 53 50 83
750000 7 50 51 83
760000 6 51 51 75
770000 7 50 52 73
780000 7 51 51 83
790000 7 52 56 84
800000 6 51 52 83
810000 7 51 50 76
820000 8 52 51 45
830000 6 51 51 75
840000 5 52 66 103
850000 6 53 57 87
860000 6 49 50 81
870000 5 51 50 86
880000 5 53 49 84
890000 6 50 50 75
900000 6 52 51 80
910000 7 51 51 77
920000 8 52 50 79
930000 6 49 50 89
940000 7 51 51 45
950000 6 50 51 178
960000 6 51 51 72
970000 6 51 50 76
980000 9 51 51 72
990000 6 51 56 55
1000000 5 51 52 97
